TRACT,Med_Income_2010,Med_Income_2020,house_value_2010,house_value_2020
48113006700,34915.0,,72126.71568105095,
48113006800,39798.0,47098.0,72126.71568105095,166637.54360504556
48113006900,28986.0,51200.0,72126.71568105095,166637.54360504556
48113007101,105580.0,112546.0,784285.2896938352,1176517.1478648703
48113007102,50563.0,55662.0,218302.5650447527,632235.1343298763
48113007201,28920.0,,142696.82931841616,
48113007202,26357.0,,142696.82931841616,
48113007301,168750.0,208611.0,142696.82931841616,309625.4105512089
48113007302,86853.0,128065.0,142696.82931841616,309625.4105512089
48113007601,150625.0,142857.0,244513.7511664766,444864.5219991231
48113007604,215938.0,250000.0,377704.99460929446,631330.5209287112
48113007605,108578.0,161875.0,244513.7511664766,444864.5219991231
48113007700,80815.0,,377704.99460929446,
48113007801,107361.0,79121.0,113803.37255241799,232205.93851447248
48113007804,36933.0,,105398.42907385131,
48113007805,57000.0,52500.0,105398.42907385131,215452.53529967405
48113007809,39099.0,70462.0,113803.37255241799,232205.93851447248
48113007810,91544.0,59672.0,105398.42907385131,215452.53529967405
48113007811,32457.0,,105398.42907385131,
48113007812,141140.0,184093.0,105398.42907385131,215452.53529967405
48113007815,22354.0,37852.0,113803.37255241799,232205.93851447248
48113007818,25820.0,,113803.37255241799,
48113007819,23818.0,35297.0,113803.37255241799,232205.93851447248
48113007820,27058.0,,113803.37255241799,
48113007821,30156.0,,113803.37255241799,
48113007822,40895.0,,113803.37255241799,
48113007823,23478.0,,105398.42907385131,
48113007824,143482.0,,113803.37255241799,
48113007825,51528.0,,105398.42907385131,
48113007826,32174.0,,113803.37255241799,
48113007827,43220.0,,113803.37255241799,
48113007902,56071.0,79176.0,113803.37255241799,232205.93851447248
48113007903,80512.0,100590.0,241187.43450391002,449849.5686008919
48113007906,111250.0,188456.0,743704.5366833328,1118975.1803291042
48113007909,48617.0,,241187.43450391002,
48113007910,49282.0,,241187.43450391002,
48113007911,42662.0,,241187.43450391002,
48113007912,51701.0,,241187.43450391002,
48113007913,42896.0,,241187.43450391002,
48113007914,44479.0,,241187.43450391002,
48113008000,121573.0,211149.0,306058.94482807646,530151.9351986266
48113008100,66586.0,,197155.21339082622,
48113008200,55750.0,73912.0,197155.21339082622,363633.79110383865
48113008400,35734.0,,83549.473038015,
48113008500,31820.0,47431.0,63710.94969421043,159820.5163958777
48113008603,30968.0,,49100.889172724805,
48113008604,13672.0,27944.0,49100.889172724805,123595.85600034776
48113008701,20122.0,21682.0,49100.889172724805,123595.85600034776
48113008703,24856.0,29133.0,49100.889172724805,123595.85600034776
48113008704,20945.0,15805.0,49100.889172724805,123595.85600034776
48113008705,35741.0,35846.0,49100.889172724805,123595.85600034776
